age,income,loan_amount,loan_term,credit_score,debt_to_income,employment_years,risk_flag
32,85000,150000,5,720,0.35,4,0
45,120000,350000,15,680,0.42,12,0
28,48000,80000,3,650,0.62,2,1
37,95000,220000,10,710,0.38,6,0
52,145000,420000,20,780,0.29,20,0
23,32000,120000,7,580,0.71,1,1
41,110000,280000,15,690,0.45,8,1
36,88000,180000,5,730,0.33,5,0
29,51000,90000,4,640,0.67,3,1
50,135000,380000,15,760,0.31,18,0
25,35000,100000,5,620,0.68,1,1
43,125000,300000,10,700,0.39,10,0
31,78000,170000,7,690,0.41,5,0
48,142000,410000,20,765,0.33,22,0
26,42000,110000,4,630,0.65,2,1
39,105000,250000,15,725,0.43,8,0
34,92000,190000,8,715,0.36,6,0
27,46000,95000,3,610,0.72,1,1
54,160000,450000,25,795,0.28,25,0
22,30000,90000,6,590,0.75,0,1
44,118000,320000,12,695,0.44,15,1
35,89000,185000,7,705,0.37,7,0
30,55000,105000,5,655,0.61,3,1
47,138000,390000,18,755,0.32,20,0
24,38000,115000,5,600,0.70,1,1
42,112000,290000,10,680,0.46,9,1
33,83000,175000,6,725,0.34,5,0
28,49000,85000,4,635,0.66,2,1
51,148000,430000,22,785,0.30,19,0
21,31000,95000,7,575,0.77,0,1
46,128000,360000,15,740,0.38,16,0
36,94000,195000,8,735,0.35,6,0
29,53000,98000,4,645,0.64,3,1
49,140000,400000,20,770,0.31,21,0
23,34000,105000,6,585,0.73,1,1
40,108000,270000,12,695,0.42,10,0
37,96000,200000,5,745,0.32,7,0
26,44000,92000,3,625,0.69,2,1
53,152000,440000,25,790,0.27,24,0
20,29000,85000,5,565,0.80,0,1
45,122000,330000,10,685,0.45,14,1
34,86000,182000,7,710,0.39,5,0
31,57000,110000,5,660,0.60,4,1
48,143000,415000,18,760,0.34,20,0
25,37000,108000,4,615,0.71,1,1
38,98000,230000,10,730,0.40,8,0
35,91000,192000,8,720,0.37,6,0
27,47000,87000,3,615,0.74,1,1
55,165000,460000,30,800,0.25,30,0
19,28000,80000,4,555,0.82,0,1
44,116000,310000,12,690,0.47,13,1
33,84000,178000,6,715,0.38,5,0
30,56000,102000,5,650,0.63,3,1
47,139000,395000,17,750,0.33,19,0
24,36000,112000,5,595,0.72,1,1
41,109000,275000,12,685,0.44,9,1
36,93000,188000,7,740,0.34,6,0
28,50000,83000,4,630,0.68,2,1
50,137000,385000,15,775,0.29,18,0
22,32500,88000,5,580,0.76,0,1
46,127000,355000,14,745,0.39,15,0
